title,placeId,location/lat,location/lng,categoryName,address,comfort_cozy_score,spicy_hot_score,fresh_healthy_score,cheap_budget_score,quick_fast_score
Nhà Hàng An Lạc Chay,osm-node-5088087021,21.0238115,105.8419625,Nhà hàng,,0.0,0.0,0.5,0.0,0.0
Nhà Hàng Chay Liên Hoa,osm-node-5088092923,21.0135722,105.846735,Nhà hàng,,0.0,0.0,0.5,0.0,0.0
Dong Phu,osm-node-5242789221,21.033564,105.8470901,Nhà hàng,"12, Hàng Điếu, Cửa Đông, Hoàn Kiếm, Hà Nội, Vietnam, Phường Hoàn Kiếm, Hà Nội",0.0,0.0,0.0,0.0,0.0
Xoi Cat Lam,osm-node-5255356021,21.032181,105.8467339,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Nhà Hàng Mỹ Phồ,osm-node-5277149621,21.0305967,105.8474703,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Bún Chả - Nem Cua Bê,osm-node-5323152623,21.0349731,105.8475555,Nhà hàng,"23, Phố Bát Sứ, Phường Hoàn Kiếm, Hà Nội",0.0,0.0,0.0,0.0,0.0
Nhà Hàng Hanoi Food Culture,osm-node-5324912922,21.0340799,105.853663,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Nhà Hàng Chay Mihn,osm-node-5332620122,21.0284211,105.8483461,Nhà hàng,"09, Phố Ấu Triệu",0.0,0.0,1.0,0.0,0.0
Quán Phở Thìn,osm-node-5334178022,21.0181784,105.8553,Nhà hàng,"13, Phố Lò Đúc",0.0,0.0,0.0,0.0,0.0
Nhà Háng,osm-node-5397611521,21.0337212,105.8478093,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Tâm An Lạc,osm-node-5411550522,21.0256891,105.8440968,Nhà hàng,Phố Lý Thường Kiệt,0.0,0.0,0.0,0.0,0.0
Bò Tơ Quán Mộc,osm-node-5485647547,21.0503921,105.7850989,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Nhà Hàng A2 Ngọc Khánh,osm-node-5485664752,21.0262998,105.8114972,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Nhà Hàng Bia Hơi Hải Xồm,osm-node-5485766230,21.0344004,105.811264,Nhà hàng,"5, Phan Kế Bính, Quận Ba Đình, Hà Nội",0.0,0.0,0.0,0.0,0.0
Nhà Hàng Bếp Mường,osm-node-5485791896,21.027178,105.8171936,Nhà hàng,"8, Phố Nguyễn Công Hoan, Quận Ba Đình, Hà Nội",0.0,0.0,0.0,0.0,0.0
Nhà Hàng Garden House,osm-node-5491288621,21.0331966,105.8539228,Nhà hàng,,0.0,0.0,0.0,0.0,0.0
Nhà hàng Phủ Lý,osm-node-5758797421,21.0426409,105.7960114,Nhà hàng,"112 B9, Phố Tô Hiệu",0.0,0.0,0.0,0.0,0.0
Bánh Đa Cua Hải Phòng,osm-node-5880291585,21.0111486,105.8045073,Nhà hàng,"39, Phố Nguyễn Thị Định",0.0,0.0,0.0,0.0,0.0
